State,County,Year,NO2_Units,NO2_Mean,NO2_1st_Max_Value,NO2_1st_Max_Hour,NO2_AQI,O3_Units,O3_Mean,O3_1st_Max_Value,O3_1st_Max_Hour,O3_AQI,SO2_Units,SO2_Mean,SO2_1st_Max_Value,SO2_1st_Max_Hour,SO2_AQI,CO_Units,CO_Mean,CO_1st_Max_Value,CO_1st_Max_Hour,CO_AQI,YPLL Rate,% Fair/Poor,Physically Unhealthy Days,TotalPop,TotalMalePop,TotalFemalePop
Arizona,Maricopa,2016,Parts per billion,20.32,40.61,17,37.95,Parts per million,0.02,0.04,10,36.54,Parts per billion,0.7,1.91,12,1.18,Parts per million,0.64,1.14,9,5.61,6082,15,3.5,4258603,2152129,2106474
California,Contra Costa,2010,Parts per billion,7.61,14.56,11,13.61,Parts per million,0.02,0.03,10,29.3,Parts per billion,0.99,1.87,9,1.37,Parts per million,0.31,0.42,6,2.13,6806,14,4.5,45468,22717,22751
California,Contra Costa,2011,Parts per billion,8.52,16.38,12,15.04,Parts per million,0.02,0.03,10,28.42,Parts per billion,1.57,2.34,11,1.47,Parts per million,0.33,0.46,6,2.3,6456,16,4,45160,22554,22606
California,Contra Costa,2012,Parts per billion,8.08,16.21,12,14.86,Parts per million,0.03,0.04,10,31.17,Parts per billion,0.96,1.6,11,0.95,Parts per million,0.31,0.43,6,2.16,6267,14,4.1,44821,22365,22456
California,Contra Costa,2013,Parts per billion,9.13,17.79,12,16.36,Parts per million,0.02,0.03,10,29.62,Parts per billion,0.47,1.19,11,0.62,Parts per million,0.32,0.45,6,2.26,7944,15,4.3,44660,22319,22341
California,Contra Costa,2014,Parts per billion,7.33,14.77,12,13.53,Parts per million,0.02,0.03,10,32.79,Parts per billion,0.7,1.52,11,0.89,Parts per million,0.35,0.46,5,2.41,6938,21,4.3,44673,22321,22352
California,Contra Costa,2015,Parts per billion,7.2,14.67,12,13.45,Parts per million,0.02,0.04,10,33.78,Parts per billion,0.76,1.44,11,0.79,Parts per million,0.38,0.5,6,2.64,7101,21,4.3,44957,22513,22444
California,Contra Costa,2016,Parts per billion,6.97,14.93,11,13.69,Parts per million,0.02,0.03,10,31.73,Parts per billion,0.94,1.55,10,0.82,Parts per million,0.38,0.51,6,2.67,7537,12,3.3,45303,22717,22586
California,San Diego,2010,Parts per billion,17.28,31.48,11,29.74,Parts per million,0.03,0.04,10,30.98,Parts per billion,0.57,1.2,5,0.96,Parts per million,0.58,0.93,8,4.63,7287,13,3.5,1421414,725430,695984
California,San Diego,2011,Parts per billion,13.08,24.39,12,23,Parts per million,0.03,0.04,10,35.74,Parts per billion,0.5,0.76,8,0.4,Parts per million,0.42,0.66,7,3.22,7194,14,3.5,1433739,732016,701723
California,San Diego,2012,Parts per billion,12.29,21.61,12,20.35,Parts per million,0.03,0.04,9,37.47,Parts per billion,0.15,0.3,11,0,Parts per million,0.35,0.53,8,2.6,6857,14,3.5,1445078,738109,706969
California,San Diego,2013,Parts per billion,12.09,21.38,12,20.15,Parts per million,0.03,0.04,9,40.79,Parts per billion,0.13,0.26,10,0,Parts per million,0.35,0.53,7,2.55,5960,19,4,1457750,745521,712229
California,San Diego,2014,Parts per billion,13.54,24.76,11,23.36,Parts per million,0.03,0.04,9,39.32,Parts per billion,0.1,0.24,10,0,Parts per million,0.36,0.56,8,2.78,6447,14,3.5,1475618,754671,720947
California,San Diego,2015,Parts per billion,10.77,20.24,10,19.07,Parts per million,0.03,0.04,9,39.55,Parts per billion,0.1,0.23,10,0.01,Parts per million,0.31,0.46,8,2.24,6353,14,3.5,1494294,764328,729966
California,Solano,2010,Parts per billion,9.26,19.16,11,17.97,Parts per million,0.02,0.03,10,27.81,Parts per billion,0.55,1.27,8,0.84,Parts per million,0.35,0.6,6,2.87,7287,13,3.5,1421414,725430,695984
California,Solano,2011,Parts per billion,10.21,20.32,12,18.76,Parts per million,0.02,0.03,10,27.06,Parts per billion,0.85,1.42,10,0.68,Parts per million,0.41,0.73,7,3.59,7194,14,3.5,1433739,732016,701723
California,Solano,2012,Parts per billion,9.14,18.87,12,17.36,Parts per million,0.02,0.03,10,27.94,Parts per billion,0.64,1.18,10,0.52,Parts per million,0.38,0.66,6,3.22,6857,14,3.5,1445078,738109,706969
California,Solano,2013,Parts per billion,9.84,20.2,11,18.69,Parts per million,0.02,0.03,10,30.19,Parts per billion,0.59,1.1,10,0.45,Parts per million,0.4,0.68,6,3.31,5960,19,4,1457750,745521,712229
California,Solano,2014,Parts per billion,8.21,17.28,13,15.98,Parts per million,0.02,0.03,10,31.56,Parts per billion,0.64,1.24,10,0.59,Parts per million,0.35,0.58,6,2.82,6447,14,3.5,1475618,754671,720947
California,Solano,2015,Parts per billion,8.26,17.34,12,15.99,Parts per million,0.02,0.03,10,31.62,Parts per billion,0.65,1.12,10,0.44,Parts per million,0.4,0.66,6,3.26,6353,14,3.5,1494294,764328,729966
California,Solano,2016,Parts per billion,8.4,19.38,11,17.85,Parts per million,0.02,0.03,10,31.55,Parts per billion,0.61,1.13,9,0.48,Parts per million,0.42,0.7,7,3.4,6293,16,3.9,1511510,773148,738362
California,Fresno,2010,Parts per billion,12.92,26.22,12,24.76,Parts per million,0.03,0.05,10,48.41,Parts per billion,0.75,1.32,5,0.99,Parts per million,0.28,0.57,8,2.74,7783,18,4,932063,466746,465317
California,Fresno,2011,Parts per billion,10.07,21.12,11,19.86,Parts per million,0.03,0.05,10,51.84,Parts per billion,0.78,1.28,5,1,Parts per million,0.27,0.45,7,2.09,7692,20,4.2,939479,470995,468484
California,Fresno,2012,Parts per billion,12.27,25.14,12,23.28,Parts per million,0.03,0.05,10,53.66,Parts per billion,0.64,1.24,12,0.62,Parts per million,0.38,0.65,9,3.28,7380,20,4,945349,474141,471208
California,Fresno,2013,Parts per billion,13.12,25.52,12,23.65,Parts per million,0.03,0.05,10,44.76,Parts per billion,0.58,1.08,12,0.44,Parts per million,0.42,0.74,8,3.66,5170,10,2.5,952029,477348,474681
California,Fresno,2014,Parts per billion,12.28,24.88,12,23.06,Parts per million,0.03,0.05,10,57.53,Parts per billion,0.48,1.01,12,0.47,Parts per million,0.35,0.62,9,3.08,7010,23,4.2,961311,481607,479704
California,Fresno,2015,Parts per billion,10.32,20.74,12,19.16,Parts per million,0.03,0.05,10,53.88,Parts per billion,0.5,1.11,12,0.56,Parts per million,0.33,0.57,9,2.81,6784,23,4.2,970442,486343,484099
California,Fresno,2016,Parts per billion,15.34,29.86,16,27.71,Parts per million,0.01,0.03,10,27.76,Parts per billion,0.07,0.21,9,0,Parts per million,0.48,0.92,12,4.53,6903,22,4.3,977956,490271,487685
California,Humboldt,2010,Parts per billion,2.63,7.61,11,7.03,Parts per million,0.02,0.03,10,25.18,Parts per billion,1.29,1.35,4,0.69,Parts per million,0.24,0.35,6,1.69,8582,13,4.9,135000,67211,67789
California,Humboldt,2011,Parts per billion,2.62,6.65,12,5.94,Parts per million,0.02,0.03,10,24.17,Parts per billion,0.42,0.49,6,0.12,Parts per million,0.35,0.46,6,2.38,8944,13,4.5,135215,67379,67836
California,Humboldt,2012,Parts per billion,1.67,4.2,12,3.64,Parts per million,0.02,0.03,11,25.62,Parts per billion,-0.14,-0.09,5,0.02,Parts per million,0.29,0.34,4,1.86,9350,14,4.4,134560,67217,67343
California,Humboldt,2013,Parts per billion,1.9,5.07,11,4.45,Parts per million,0.02,0.03,10,23.7,Parts per billion,0.09,0.17,7,0.01,Parts per million,0.28,0.36,5,1.83,6819,30,3.9,134407,67242,67165
California,Humboldt,2014,Parts per billion,1.58,4.53,12,3.94,Parts per million,0.02,0.03,10,25.65,Parts per billion,0.28,0.37,7,0.05,Parts per million,0.28,0.34,4,1.76,8293,12,4.1,134514,67297,67217
California,Humboldt,2015,Parts per billion,2.16,5.1,12,4.53,Parts per million,0.02,0.03,10,27.23,Parts per billion,0.03,0.1,6,0.02,Parts per million,0.32,0.39,4,2.06,8140,12,4.1,135114,67667,67447
California,Humboldt,2016,Parts per billion,2.01,5.34,12,4.69,Parts per million,0.03,0.03,10,30.66,Parts per billion,0.36,0.45,6,0.15,Parts per million,0.27,0.36,5,1.76,8434,15,4.1,136314,68290,68024
California,Alameda,2010,Parts per billion,13.11,23.71,11,22.2,Parts per million,0.02,0.03,10,21.97,Parts per billion,0.81,1.69,10,1.22,Parts per million,0.31,0.56,9,2.6,5910,14,3.1,1513043,771262,741781
California,Alameda,2011,Parts per billion,15.74,26.8,11,24.82,Parts per million,0.02,0.03,10,21.29,Parts per billion,1.05,2.29,11,1.53,Parts per million,0.38,0.67,6,3.21,5855,14,3,1530998,780850,750148
California,Alameda,2012,Parts per billion,14.88,25.78,11,23.87,Parts per million,0.02,0.03,10,22.71,Parts per billion,0.71,2.07,11,1.48,Parts per million,0.48,0.72,6,3.67,5690,15,3.1,1554138,793228,760910
California,Alameda,2013,Parts per billion,16.77,27.16,11,25.15,Parts per million,0.02,0.02,10,21.03,Parts per billion,0.5,1.79,12,1.25,Parts per million,0.52,0.81,6,4.02,5570,19,3.7,1580247,806235,774012
California,Alameda,2014,Parts per billion,14.29,24.96,12,23.06,Parts per million,0.02,0.03,10,25.65,Parts per billion,0.49,1.55,11,1.05,Parts per million,0.51,0.77,6,3.92,5141,15,3,1608674,820526,788148
California,Alameda,2015,Parts per billion,13.99,24.56,11,22.76,Parts per million,0.02,0.03,10,25.3,Parts per billion,0.75,1.77,11,1.14,Parts per million,0.53,0.83,6,4.14,4887,15,3,1634634,832967,801667
California,Alameda,2016,Parts per billion,14.34,26.84,12,24.82,Parts per million,0.02,0.03,10,27.01,Parts per billion,0.93,1.88,10,1.13,Parts per million,0.53,0.83,7,4.15,4886,13,3.4,1650306,839755,810551
California,Imperial,2010,Parts per billion,13.87,31.33,13,29.62,Parts per million,0.03,0.04,9,36.93,Parts per billion,0.49,1.48,8,1.2,Parts per million,0.88,1.4,9,6.87,7097,31,4.8,174730,85070,89660
California,Imperial,2011,Parts per billion,14.33,32.48,12,30.65,Parts per million,0.03,0.04,9,35.69,Parts per billion,0.41,1.4,8,1.11,Parts per million,0.86,1.53,9,7.38,7073,32,4.9,175813,85590,90223
California,Imperial,2012,Parts per billion,13.98,33.23,13,31.41,Parts per million,0.03,0.04,9,40.62,Parts per billion,0.46,1.51,9,1.22,Parts per million,0.46,1.12,9,5.01,6568,31,4.8,176678,86013,90665
California,Imperial,2013,Parts per billion,12.79,32.61,13,30.37,Parts per million,0.03,0.05,9,50.71,Parts per billion,0.67,1.95,12,1.3,Parts per million,0.48,1.09,9,4.94,8293,13,4.3,176605,86544,90061
California,Imperial,2014,Parts per billion,12.24,28.81,13,26.82,Parts per million,0.03,0.05,9,47.1,Parts per billion,0.81,2.16,13,1.39,Parts per million,0.37,0.9,10,3.99,5672,29,4.6,178233,87236,90997
California,Imperial,2015,Parts per billion,11.49,27.72,13,25.74,Parts per million,0.03,0.05,9,48.4,Parts per billion,0.72,2.02,12,1.34,Parts per million,0.37,0.91,9,4.06,5338,29,4.6,179179,87661,91518
California,Imperial,2016,Parts per billion,15.28,35.96,15,33.66,Parts per million,0.03,0.04,9,43.02,Parts per billion,0.8,1.92,12,1.16,Parts per million,0.51,1.24,10,5.4,5245,28,4.8,180268,88164,92104
California,Los Angeles,2010,Parts per billion,20.45,35.78,11,33.5,Parts per million,0.02,0.04,10,31.36,Parts per billion,0.78,2.07,9,1.47,Parts per million,0.42,0.72,7,3.54,10287,19,4.8,64735,32266,32469
California,Los Angeles,2011,Parts per billion,19.96,34.81,11,32.52,Parts per million,0.02,0.04,10,31.2,Parts per billion,0.53,1.7,10,1.15,Parts per million,0.41,0.75,7,3.62,10040,19,4.8,64247,32087,32160
California,Los Angeles,2012,Parts per billion,21.17,35.73,11,33.34,Parts per million,0.02,0.04,10,31.18,Parts per billion,0.52,1.46,9,0.92,Parts per million,0.54,0.89,8,4.47,9583,22,4.4,63963,31932,32031
California,Los Angeles,2013,Parts per billion,18.76,32.42,12,30.23,Parts per million,0.03,0.04,10,36.27,Parts per billion,0.43,1.21,9,0.73,Parts per million,0.46,0.75,7,3.73,6372,27,5.1,63809,31934,31875
California,Los Angeles,2014,Parts per billion,19.45,34.31,11,32.1,Parts per million,0.03,0.04,10,38.82,Parts per billion,0.48,1.28,9,0.76,Parts per million,0.5,0.79,7,3.98,9804,20,4.9,64058,32101,31957
California,Los Angeles,2015,Parts per billion,18.92,34.22,11,31.94,Parts per million,0.03,0.04,10,39.64,Parts per billion,0.45,1.28,10,0.78,Parts per million,0.39,0.71,6,3.42,10269,20,4.9,64254,32256,31998
California,Orange,2010,Parts per billion,11.17,22.89,11,21.3,Parts per million,0.03,0.04,10,32.62,Parts per billion,0.56,1.17,8,0.71,Parts per million,0.24,0.5,7,2.26,4701,15,3,3016559,1524939,1491620
California,Orange,2011,Parts per billion,10.99,22.44,10,20.83,Parts per million,0.03,0.04,9,31.3,Parts per billion,0.28,0.84,8,0.46,Parts per million,0.24,0.5,7,2.36,4692,15,3.1,3050867,1543216,1507651
California,Orange,2012,Parts per billion,9.55,20.34,11,18.78,Parts per million,0.03,0.04,9,33.67,Parts per billion,0.07,0.31,4,0.13,Parts per million,0.17,0.38,7,1.72,4597,15,3.1,3080419,1558783,1521636
California,Orange,2013,Parts per billion,12.06,22.68,11,21.04,Parts per million,0.03,0.04,9,38.57,Parts per billion,0.22,0.57,6,0.27,Parts per million,0.27,0.53,6,2.47,5604,11,2.8,3108009,1572767,1535242
California,Orange,2014,Parts per billion,11.07,22.53,10,20.89,Parts per million,0.03,0.04,9,40.29,Parts per billion,0.3,0.61,5,0.32,Parts per million,0.23,0.48,5,2.17,4396,15,3.1,3130322,1584424,1545898
California,Orange,2015,Parts per billion,11.62,22.61,11,20.96,Parts per million,0.03,0.04,9,42.22,Parts per billion,0.13,0.42,6,0.14,Parts per million,0.27,0.52,6,2.37,4179,15,3.1,3153962,1596149,1557813
California,Santa Barbara,2010,Parts per billion,2.12,5.24,7,5.04,Parts per million,0.03,0.04,10,34.53,Parts per billion,0.66,1.14,4,0.92,Parts per million,0.11,0.18,3,0.75,7287,13,3.5,1421414,725430,695984
California,Santa Barbara,2011,Parts per billion,2.34,5.38,7,5.18,Parts per million,0.03,0.04,10,33.41,Parts per billion,0.7,1.3,5,1.11,Parts per million,0.18,0.25,3,1.15,7194,14,3.5,1433739,732016,701723
California,Santa Barbara,2012,Parts per billion,1.86,4.81,7,4.64,Parts per million,0.03,0.04,10,34.78,Parts per billion,1.13,1.82,5,1.45,Parts per million,0.16,0.24,5,1.09,6857,14,3.5,1445078,738109,706969
California,Santa Barbara,2013,Parts per billion,1.98,4.98,7,4.79,Parts per million,0.03,0.04,10,36.36,Parts per billion,0.88,1.57,4,1.41,Parts per million,0.15,0.23,5,1.07,5960,19,4,1457750,745521,712229
California,Santa Barbara,2014,Parts per billion,1.31,4.03,5,3.86,Parts per million,0.03,0.04,9,37.43,Parts per billion,0.49,1.07,4,0.96,Parts per million,0.18,0.25,3,1.12,6447,14,3.5,1475618,754671,720947
California,Santa Barbara,2015,Parts per billion,1.69,4.39,6,4.22,Parts per million,0.03,0.04,10,37.63,Parts per billion,0.14,0.59,4,0.54,Parts per million,0.2,0.26,3,1.28,6353,14,3.5,1494294,764328,729966
California,Santa Barbara,2016,Parts per billion,1.92,5.25,7,5,Parts per million,0.03,0.04,10,38.13,Parts per billion,0.19,0.64,4,0.51,Parts per million,0.15,0.22,3,1.01,6293,16,3.9,1511510,773148,738362
California,Sacramento,2010,Parts per billion,8.38,18.7,13,17.67,Parts per million,0.03,0.04,10,35.72,Parts per billion,0.24,0.46,3,0.3,Parts per million,0.29,0.49,8,2.4,7287,13,3.5,1421414,725430,695984
California,Sacramento,2011,Parts per billion,8.99,18.4,12,17.36,Parts per million,0.02,0.04,10,35.09,Parts per billion,0.29,0.56,7,0.21,Parts per million,0.3,0.52,8,2.56,7194,14,3.5,1433739,732016,701723
California,Sacramento,2012,Parts per billion,8.01,17.71,11,16.72,Parts per million,0.03,0.04,10,41.89,Parts per billion,0.5,0.76,11,0.18,Parts per million,0.27,0.49,9,2.39,6857,14,3.5,1445078,738109,706969
California,Sacramento,2013,Parts per billion,8.23,17.88,12,16.92,Parts per million,0.03,0.04,10,42.36,Parts per billion,0.58,0.9,12,0.29,Parts per million,0.35,0.63,9,3.12,5960,19,4,1457750,745521,712229
California,Sacramento,2014,Parts per billion,6.36,14.9,12,14.08,Parts per million,0.03,0.04,10,43.28,Parts per billion,0.72,1.09,12,0.44,Parts per million,0.27,0.48,9,2.36,6447,14,3.5,1475618,754671,720947
California,Sacramento,2015,Parts per billion,6.7,17.06,12,16.12,Parts per million,0.02,0.04,10,40.31,Parts per billion,1.75,2.24,13,1.32,Parts per million,0.28,0.5,9,2.47,6353,14,3.5,1494294,764328,729966
California,Sacramento,2016,Parts per billion,9.12,21.04,14,19.79,Parts per million,0.02,0.03,12,24.46,Parts per billion,2.5,3,11,1.88,Parts per million,0.43,0.76,10,3.77,6293,16,3.9,1511510,773148,738362
California,Santa Clara,2010,Parts per billion,13.55,24.69,11,23.12,Parts per million,0.02,0.03,10,27.23,Parts per billion,0.39,0.96,9,0.49,Parts per million,0.36,0.58,7,2.81,7287,13,3.5,1421414,725430,695984
California,Santa Clara,2011,Parts per billion,12.04,22.35,12,20.63,Parts per million,0.02,0.03,10,27.32,Parts per billion,0.61,1.45,10,0.89,Parts per million,0.37,0.56,8,2.8,7194,14,3.5,1433739,732016,701723
California,Santa Clara,2012,Parts per billion,10.87,21.15,11,19.51,Parts per million,0.02,0.03,10,27.95,Parts per billion,0.65,1.4,10,0.82,Parts per million,0.36,0.54,8,2.74,6857,14,3.5,1445078,738109,706969
California,Santa Clara,2013,Parts per billion,12.24,22.58,11,20.83,Parts per million,0.02,0.03,10,27.61,Parts per billion,0.34,0.88,10,0.44,Parts per million,0.4,0.62,7,3.07,5960,19,4,1457750,745521,712229
California,Santa Clara,2014,Parts per billion,13.07,23.88,11,22.08,Parts per million,0.02,0.03,10,30.51,Parts per billion,0.24,0.54,10,0.1,Parts per million,0.35,0.59,7,2.84,6447,14,3.5,1475618,754671,720947
California,Santa Clara,2015,Parts per billion,12.78,23.66,12,21.9,Parts per million,0.02,0.03,10,32.24,Parts per billion,0.29,0.6,10,0.13,Parts per million,0.37,0.63,7,3.01,6353,14,3.5,1494294,764328,729966
California,Santa Clara,2016,Parts per billion,12.98,25.25,12,23.36,Parts per million,0.02,0.03,11,30.45,Parts per billion,0.24,0.5,9,0.1,Parts per million,0.36,0.63,8,3.01,6293,16,3.9,1511510,773148,738362
California,San Bernardino,2010,Parts per billion,18.93,36.61,10,34.44,Parts per million,0.03,0.05,10,43.95,Parts per billion,0.8,1.58,5,1.18,Parts per million,0.33,0.58,7,2.77,7287,13,3.5,1421414,725430,695984
California,San Bernardino,2011,Parts per billion,18.28,35.66,10,33.5,Parts per million,0.03,0.05,10,46.16,Parts per billion,1.03,1.62,6,1.09,Parts per million,0.34,0.54,7,2.67,7194,14,3.5,1433739,732016,701723
California,San Bernardino,2012,Parts per billion,17.87,33.22,9,31.15,Parts per million,0.03,0.05,10,55.66,Parts per billion,0.77,1.22,5,0.75,Parts per million,0.25,0.45,6,2.18,6857,14,3.5,1445078,738109,706969
California,San Bernardino,2013,Parts per billion,17.29,34.07,10,31.76,Parts per million,0.03,0.05,10,63.31,Parts per billion,0.81,1.2,7,0.57,Parts per million,0.24,0.44,6,2.14,5960,19,4,1457750,745521,712229
California,San Bernardino,2014,Parts per billion,16.53,32.82,9,30.59,Parts per million,0.03,0.05,10,59.94,Parts per billion,0.7,1.1,8,0.5,Parts per million,0.24,0.45,5,2.13,6447,14,3.5,1475618,754671,720947
California,San Bernardino,2015,Parts per billion,14.7,29.88,10,27.83,Parts per million,0.03,0.05,10,59.3,Parts per billion,0.46,1.87,8,1.25,Parts per million,0.26,0.59,6,2.44,6353,14,3.5,1494294,764328,729966
California,San Bernardino,2016,Parts per billion,11.99,27.9,8,25.88,Parts per million,0.03,0.04,10,38.61,Parts per billion,0.25,0.68,6,0.21,Parts per million,0.41,0.6,6,3.15,6293,16,3.9,1511510,773148,738362
California,Riverside,2010,Parts per billion,16.92,30.86,11,28.8,Parts per million,0.03,0.05,10,56,Parts per billion,1.26,1.76,8,1.14,Parts per million,0.47,0.73,7,3.65,7177,17,3.7,2201652,1106345,1095307
California,Riverside,2011,Parts per billion,16.4,30.76,12,28.57,Parts per million,0.03,0.05,10,54.57,Parts per billion,0.3,0.64,5,0.33,Parts per million,0.39,0.65,8,3.24,7062,19,3.8,2234301,1122647,1111654
California,Riverside,2012,Parts per billion,15.97,29.08,10,27.04,Parts per million,0.03,0.05,10,51.6,Parts per billion,0.21,0.53,9,0.14,Parts per million,0.38,0.64,7,3.17,6762,19,3.8,2261967,1136267,1125700
California,Riverside,2013,Parts per billion,15.59,29.09,11,26.99,Parts per million,0.03,0.05,10,54.41,Parts per billion,0.16,0.47,8,0.15,Parts per million,0.44,0.7,7,3.51,7082,6,3.2,2288043,1149406,1138637
California,Riverside,2014,Parts per billion,15.18,28.6,10,26.56,Parts per million,0.03,0.05,10,63.68,Parts per billion,0.24,0.66,8,0.24,Parts per million,0.41,0.66,6,3.28,5960,20,4,2317955,1165354,1152601
California,Riverside,2015,Parts per billion,14.38,28.62,11,26.6,Parts per million,0.03,0.05,10,61.55,Parts per billion,0.25,0.52,8,0.09,Parts per million,0.35,0.61,7,2.95,5627,20,4,2347921,1180304,1167617
Colorado,Denver,2012,Parts per billion,23.99,42.79,10,40.51,Parts per million,0.03,0.04,9,33.98,Parts per billion,2.02,7.44,9,6.61,Parts per million,0.4,0.72,9,3.44,7087,17,3.7,30466,15131,15335
Colorado,Denver,2013,Parts per billion,24.07,41.87,10,39.43,Parts per million,0.02,0.04,10,30.37,Parts per billion,1.83,7.07,8,6.37,Parts per million,0.4,0.74,8,3.52,6402,8,2.1,30339,15141,15198
Colorado,Denver,2014,Parts per billion,22.23,39.9,11,37.3,Parts per million,0.02,0.04,9,33.76,Parts per billion,1.1,2.98,10,2.4,Parts per million,0.37,0.68,9,3.25,7297,16,3.7,29965,14916,15049
Colorado,Denver,2015,Parts per billion,21.27,38.61,12,36.09,Parts per million,0.02,0.04,10,37.16,Parts per billion,1.01,3,10,2.41,Parts per million,0.37,0.65,9,3.13,6816,16,3.7,29919,14908,15011
Colorado,Denver,2016,Parts per billion,25.17,46.15,12,43.33,Parts per million,0.02,0.03,9,30.6,Parts per billion,1.14,2.71,11,2.08,Parts per million,0.44,0.81,10,3.84,7791,14,3.5,30356,15144,15212
Colorado,Jackson,2012,Parts per billion,1.29,2.74,12,2.29,Parts per million,0.04,0.04,9,33.78,Parts per billion,0.05,0.15,4,0.02,Parts per million,0.12,0.18,7,0.79,6480,10,2.2,1325,623,702
Colorado,Jackson,2013,Parts per billion,1.43,2.82,10,2.35,Parts per million,0.04,0.05,9,39.25,Parts per billion,0.03,0.07,4,0,Parts per million,0.16,0.2,3,0.96,11888,30,4.7,1336,629,707
Colorado,Jackson,2014,Parts per billion,1.12,2.51,10,2.1,Parts per million,0.04,0.05,9,43.54,Parts per billion,0.14,0.23,7,0.02,Parts per million,0.11,0.14,3,0.71,6480,30,1.5,1385,649,736
Colorado,Adams,2010,Parts per billion,16.17,33.06,10,31.22,Parts per million,0.02,0.04,10,32.6,Parts per billion,1.03,4.29,8,3.87,Parts per million,0.37,0.69,8,3.34,6943,18,3.7,443698,220506,223192
Colorado,Adams,2011,Parts per billion,17.53,38.15,9,36.07,Parts per million,0.03,0.05,10,42.07,Parts per billion,1.41,5,9,4.44,Parts per million,0.33,0.58,8,2.88,6711,18,3.7,452203,224902,227301
Colorado,Adams,2012,Parts per billion,19.54,39.79,10,37.64,Parts per million,0.02,0.04,10,37.43,Parts per billion,0.84,3.62,8,3.28,Parts per million,0.38,0.64,8,3.11,6521,17,3.7,460648,229335,231313
Colorado,Adams,2013,Parts per billion,17.08,35.91,10,33.89,Parts per million,0.03,0.04,10,47.72,Parts per billion,1.28,4.63,9,4.15,Parts per million,0.36,0.65,8,3.09,6000,13,3.1,470145,233878,236267
Colorado,Adams,2014,Parts per billion,17.98,37.58,9,35.57,Parts per million,0.03,0.04,9,42.76,Parts per billion,1.18,3.5,8,3.01,Parts per million,0.37,0.64,7,3.07,6371,17,3.5,480263,238607,241656
